"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"FR000007150","PARIS LE BOURGET, FR","1938-01","5.6","8.2","3.1"
"FR000007150","PARIS LE BOURGET, FR","1938-02","4.8","8.2","1.4"
"FR000007150","PARIS LE BOURGET, FR","1938-03","10.5","16.0","5.1"
"FR000007150","PARIS LE BOURGET, FR","1938-04","8.7","13.1","4.3"
"FR000007150","PARIS LE BOURGET, FR","1938-05","12.8","17.9","7.7"
"FR000007150","PARIS LE BOURGET, FR","1938-06","18.6","24.4","12.7"
"FR000007150","PARIS LE BOURGET, FR","1938-07","18.5","23.5","13.6"
"FR000007150","PARIS LE BOURGET, FR","1938-08","19.5","24.4","14.7"
"FR000007150","PARIS LE BOURGET, FR","1938-09","16.6","21.1","12.1"
"FR000007150","PARIS LE BOURGET, FR","1938-10","11.5","15.4","7.7"
"FR000007150","PARIS LE BOURGET, FR","1938-11","10.0","12.6","7.3"
"FR000007150","PARIS LE BOURGET, FR","1938-12","2.6","5.1","0.1"
"FR000007150","PARIS LE BOURGET, FR","1939-01","5.9","8.1","3.8"
"FR000007150","PARIS LE BOURGET, FR","1939-02","5.5","9.0","2.1"
"FR000007150","PARIS LE BOURGET, FR","1939-03","6.4","10.0","2.8"
"FR000007150","PARIS LE BOURGET, FR","1939-04","11.7","16.2","7.1"
"FR000007150","PARIS LE BOURGET, FR","1939-05","13.2","18.0","8.3"
"FR000007150","PARIS LE BOURGET, FR","1939-06","18.4","23.7","13.1"
"FR000007150","PARIS LE BOURGET, FR","1939-07","18.0","23.2","12.9"
"FR000007150","PARIS LE BOURGET, FR","1939-08","19.0","23.5","14.4"
"FR000007150","PARIS LE BOURGET, FR","1939-09","16.0","20.4","11.6"
"FR000007150","PARIS LE BOURGET, FR","1939-10","10.1","13.3","6.9"
"FR000007150","PARIS LE BOURGET, FR","1939-11","9.5","12.4","6.6"
"FR000007150","PARIS LE BOURGET, FR","1939-12","2.9","4.9","0.9"
"FR000007150","PARIS LE BOURGET, FR","1940-01","-2.0","1.1","-5.0"
"FR000007150","PARIS LE BOURGET, FR","1940-02","4.6","7.6","1.5"
"FR000007150","PARIS LE BOURGET, FR","1940-03","7.8","12.4","3.2"
"FR000007150","PARIS LE BOURGET, FR","1940-04","10.9","15.1","6.7"
"FR000007150","PARIS LE BOURGET, FR","1940-05","15.5","20.9","10.2"
"FR000007150","PARIS LE BOURGET, FR","1940-06","19.2","24.7","13.6"
"FR000007150","PARIS LE BOURGET, FR","1940-07","18.0","22.9","13.0"
"FR000007150","PARIS LE BOURGET, FR","1940-08","18.1","23.4","12.7"
"FR000007150","PARIS LE BOURGET, FR","1940-09","16.1","20.9","11.2"
"FR000007150","PARIS LE BOURGET, FR","1940-10","10.7","14.6","6.8"
"FR000007150","PARIS LE BOURGET, FR","1940-11","8.0","11.0","5.0"
"FR000007150","PARIS LE BOURGET, FR","1940-12","1.6","3.9","-0.8"
"FR000007150","PARIS LE BOURGET, FR","1941-01","0.1","2.5","-2.3"
"FR000007150","PARIS LE BOURGET, FR","1941-02","4.4","7.4","1.4"
"FR000007150","PARIS LE BOURGET, FR","1941-03","8.3","12.7","3.9"
"FR000007150","PARIS LE BOURGET, FR","1941-04","9.1","13.4","4.8"
"FR000007150","PARIS LE BOURGET, FR","1941-05","11.4","16.4","6.4"
"FR000007150","PARIS LE BOURGET, FR","1941-06","18.6","23.6","13.7"
"FR000007150","PARIS LE BOURGET, FR","1941-07","20.6","26.1","15.1"
"FR000007150","PARIS LE BOURGET, FR","1941-08","17.1","21.5","12.7"
"FR000007150","PARIS LE BOURGET, FR","1941-09","16.7","21.7","11.8"
"FR000007150","PARIS LE BOURGET, FR","1941-10","11.7","15.3","8.2"
"FR000007150","PARIS LE BOURGET, FR","1941-11","6.6","9.5","3.7"
"FR000007150","PARIS LE BOURGET, FR","1941-12","4.7","7.1","2.3"
"FR000007150","PARIS LE BOURGET, FR","1942-01","-0.9","2.0","-3.7"
"FR000007150","PARIS LE BOURGET, FR","1942-02","-1.7","0.6","-4.0"
"FR000007150","PARIS LE BOURGET, FR","1942-03","8.6","12.9","4.4"
"FR000007150","PARIS LE BOURGET, FR","1942-04","12.6","17.7","7.5"
"FR000007150","PARIS LE BOURGET, FR","1942-05","14.4","19.7","9.0"
"FR000007150","PARIS LE BOURGET, FR","1942-06","17.6","23.3","11.9"
"FR000007150","PARIS LE BOURGET, FR","1942-07","18.7","23.4","14.0"
"FR000007150","PARIS LE BOURGET, FR","1942-08","19.8","25.3","14.2"
"FR000007150","PARIS LE BOURGET, FR","1942-09","16.8","21.4","12.1"
"FR000007150","PARIS LE BOURGET, FR","1942-10","13.1","16.3","9.9"
"FR000007150","PARIS LE BOURGET, FR","1942-11","5.8","8.2","3.3"
"FR000007150","PARIS LE BOURGET, FR","1942-12","5.1","7.6","2.6"
"FR000007150","PARIS LE BOURGET, FR","1943-01","5.7","8.4","2.9"
"FR000007150","PARIS LE BOURGET, FR","1943-02","5.6","8.6","2.5"
"FR000007150","PARIS LE BOURGET, FR","1943-03","9.2","14.3","4.1"
"FR000007150","PARIS LE BOURGET, FR","1943-04","13.4","18.5","8.2"
"FR000007150","PARIS LE BOURGET, FR","1943-05","15.6","20.9","10.3"
"FR000007150","PARIS LE BOURGET, FR","1943-06","17.2","22.4","12.0"
"FR000007150","PARIS LE BOURGET, FR","1943-07","20.8","26.6","15.0"
"FR000007150","PARIS LE BOURGET, FR","1943-08","19.2","24.2","14.2"
"FR000007150","PARIS LE BOURGET, FR","1943-09","15.7","20.3","11.1"
"FR000007150","PARIS LE BOURGET, FR","1943-10","12.4","15.7","9.0"
"FR000007150","PARIS LE BOURGET, FR","1943-11","5.9","8.6","3.2"
"FR000007150","PARIS LE BOURGET, FR","1943-12","2.9","4.9","0.8"
"FR000007150","PARIS LE BOURGET, FR","1944-01","5.6","8.4","2.9"
"FR000007150","PARIS LE BOURGET, FR","1944-02","2.1","5.0","-0.8"
"FR000007150","PARIS LE BOURGET, FR","1944-03","5.6","9.8","1.3"
"FR000007150","PARIS LE BOURGET, FR","1944-04","12.6","17.8","7.3"
"FR000007150","PARIS LE BOURGET, FR","1944-05","14.6","20.9","8.3"
"FR000007150","PARIS LE BOURGET, FR","1944-06","16.3","21.4","11.3"
"FR000007150","PARIS LE BOURGET, FR","1944-07","19.4","24.1","14.6"
"FR000007150","PARIS LE BOURGET, FR","1944-08","21.8","27.2","16.4"
"FR000007150","PARIS LE BOURGET, FR","1944-09","15.2","19.4","10.9"
"FR000007150","PARIS LE BOURGET, FR","1944-10","10.4","13.5","7.4"
"FR000007150","PARIS LE BOURGET, FR","1944-11","7.5","10.5","4.6"
"FR000007150","PARIS LE BOURGET, FR","1944-12","3.8","6.0","1.5"
"FR000007150","PARIS LE BOURGET, FR","1945-01","-1.6","1.6","-4.7"
"FR000007150","PARIS LE BOURGET, FR","1945-02","8.2","11.5","4.9"
"FR000007150","PARIS LE BOURGET, FR","1945-03","9.3","13.6","5.0"
"FR000007150","PARIS LE BOURGET, FR","1945-04","13.3","18.7","7.9"
"FR000007150","PARIS LE BOURGET, FR","1945-05","16.6","22.1","11.1"
"FR000007150","PARIS LE BOURGET, FR","1945-06","19.0","24.7","13.3"
"FR000007150","PARIS LE BOURGET, FR","1945-07","20.8","26.9","14.7"
"FR000007150","PARIS LE BOURGET, FR","1945-08","19.2","24.0","14.4"
"FR000007150","PARIS LE BOURGET, FR","1945-09","17.2","21.6","12.8"
"FR000007150","PARIS LE BOURGET, FR","1945-10","13.2","18.0","8.4"
"FR000007150","PARIS LE BOURGET, FR","1945-11","6.4","9.3","3.6"
"FR000007150","PARIS LE BOURGET, FR","1945-12","5.1","7.9","2.4"
"FR000007150","PARIS LE BOURGET, FR","1946-01","0.9","3.7","-1.9"
"FR000007150","PARIS LE BOURGET, FR","1946-02","6.8","9.4","4.3"
"FR000007150","PARIS LE BOURGET, FR","1946-03","7.1","10.9","3.4"
"FR000007150","PARIS LE BOURGET, FR","1946-04","12.5","18.2","6.9"
"FR000007150","PARIS LE BOURGET, FR","1946-05","14.4","19.1","9.7"
"FR000007150","PARIS LE BOURGET, FR","1946-06","16.3","21.4","11.2"
"FR000007150","PARIS LE BOURGET, FR","1946-07","20.0","25.6","14.3"
"FR000007150","PARIS LE BOURGET, FR","1946-08","17.8","22.8","12.8"
"FR000007150","PARIS LE BOURGET, FR","1946-09","17.0","22.1","11.8"
"FR000007150","PARIS LE BOURGET, FR","1946-10","11.2","15.1","7.4"
"FR000007150","PARIS LE BOURGET, FR","1946-11","7.6","10.3","5.0"
"FR000007150","PARIS LE BOURGET, FR","1946-12","1.5","4.0","-0.9"
"FR000007150","PARIS LE BOURGET, FR","1947-01","0.9","3.7","-1.9"
"FR000007150","PARIS LE BOURGET, FR","1947-02","0.3","2.8","-2.2"
"FR000007150","PARIS LE BOURGET, FR","1947-03","7.7","11.8","3.6"
"FR000007150","PARIS LE BOURGET, FR","1947-04","12.8","18.3","7.2"
"FR000007150","PARIS LE BOURGET, FR","1947-05","16.7","22.3","11.0"
"FR000007150","PARIS LE BOURGET, FR","1947-06","19.3","25.1","13.5"
"FR000007150","PARIS LE BOURGET, FR","1947-07","22.1","28.2","16.0"
"FR000007150","PARIS LE BOURGET, FR","1947-08","22.7","28.4","17.0"
"FR000007150","PARIS LE BOURGET, FR","1947-09","19.0","24.4","13.6"
"FR000007150","PARIS LE BOURGET, FR","1947-10","12.6","17.6","7.5"
"FR000007150","PARIS LE BOURGET, FR","1947-11","8.4","11.5","5.3"
"FR000007150","PARIS LE BOURGET, FR","1947-12","5.3","7.5","3.0"
"FR000007150","PARIS LE BOURGET, FR","1948-01","6.7","9.6","3.9"
"FR000007150","PARIS LE BOURGET, FR","1948-02","4.4","7.5","1.4"
"FR000007150","PARIS LE BOURGET, FR","1948-03","10.8","16.3","5.2"
"FR000007150","PARIS LE BOURGET, FR","1948-04","11.5","16.5","6.6"
"FR000007150","PARIS LE BOURGET, FR","1948-05","15.4","20.5","10.4"
"FR000007150","PARIS LE BOURGET, FR","1948-06","16.8","21.4","12.2"
"FR000007150","PARIS LE BOURGET, FR","1948-07","18.3","22.4","14.1"
